,name,rebuttal,len_rebuttal
11,Jindal,"Well, Jake, I'm compliance 11th Commandment, I tell fellow Republicans, stop treating Donald Trump like Republican. If really conservative... If really conservative 30 points ahead, I endorse him. He's conservative. He's liberal. He's Democrat. He's Republican. He's independent. He believes Donald Trump. Here reality, idea America slipping away. Eighteen trillion dollars debt, Planned Parenthood selling baby parts across country. Our government creating new entitlement program, afford government got today. We've got president even say words radical Islamic terrorism. He declared war trans fats truce Iran. Think that. He's worried Twinkies ayatollahs nuclear weapon. That's happening, idea America slipping away. We must let happen watch. We lifetime opportunity rescue idea America, choice conservatives. Do depend proven conservative principles like Ronald Reagan did, turn narcissist believes himself...",125
12,Tapper,"Thank you, Governor.",3
13,Jindal,"Thank you, Jake.",3
14,Tapper,"Senator Santorum, think Governor Jindal wrong attacking party's front runner?",10
15,Santorum,"I think personal attacks, just please one person, Hillary Clinton. And go -- seen bunch it, people stage, people going stage afterwards, go make personal attacks people. There plenty policy differences candidates candidates later. Donald Trump ever right run president Republican, anybody else audience, may positions I disagree with, right people given benefit doubt people see things. I think helps Republicans attack Republicans personally. I'll say things tonight will big differences. The issue immigration one huge differences field, I will talking control immigration. How look American worker. The focus debate going win election help improve quality life American workers, that, picking calling names. The name call is, going average Americans losing ground America today. And focus.",116
16,Tapper,"Thank you. Governor Jindal, want respond that?",7
17,Jindal,"Absolutely. Look, reality is, Hillary Clinton gift-wrapping election us. They running weakest candidate. They got socialist gaining Hillary Clinton. Folks, make up. A socialist well Democratic primary. The best way us give election back nominate Donald Trump. He'll implode general election, if, God forbid, White House, idea do. You just attack policy. He care policy. It's enough say socialized medicine higher taxes...",62
18,Tapper,"Thank you, Governor.",3
19,Jindal,He's serious.,2
20,Tapper,"Senator Santorum, just assure you, will get issues. But just couple general subject. Senator Graham, called Donald Trump a, quote, ""wrecking ball Republican party."" Voters home state South Carolina, recent poll, prefer Donald Trump 30 percent 4 percent. How explain many constituents rather Donald Trump Republican nominee you?",48
21,Graham,"Well, I can say, looked polling 2012 2008 level, -- stage, President Perry President Giuliani. I long way go. And I'm going try tonight -- convince I'm best qualified commander-in-chief one percent fighting rest us. And serious discussion tonight.",39
22,Graham,"All us going say want destroy ISIL. But I'm going tell you. What working. I plan it. If I'm president United States, going send ground forces Iraq to. President Obama made huge mistake leaving soon sound military advice. To every candidate tonight, willing commit American people will destroy ISIL understand need ground force it? Are willing -- Jake, please ask everybody following question. Would go 3,500 10,000 American boots ground Iraq destroy ISIL? Because don't, going lose. Are willing send American combat forces Syria part regional army, don't, never destroy ISIL Syria. If ready things ready commander-in-chief.",97
23,Tapper,"Thank you, Senator Graham.",4
24,Tapper,"We're going bring Hugh Hewitt now, question Governor Pataki. HUGH HEWITT, TALK RADIO",13
25,Host,"Thank you, Jake. Governor, signed pledge support Republican nominee promptly broke it. By so, Tweeting support Donald Trump, released Donald Trump free agent anyone else field? GEORGE PATAKI (R), PRESIDENTIAL",30
26,Candidate,"No. Hugh, all. I broken pledge Donald Trump going Republican nominee, period, flat out, I guarantee that. I vote...",19
27,Hewitt,Governor...,1
28,Pataki,-- Republican nominee...,3
29,Hewitt,-- said Twitter support Donald Trump. If nominee...,8
30,Pataki,He's going nominee.,3
31,Hewitt,-- will support him?,4
32,Pataki,"He's going nominee, Hugh. And let just say one word here. This important election enormous number challenges facing American people. And first four questions Donald Trump. (CROSSTALK)",27
33,Hewitt,Would really vote Hillary Clinton...,5
34,Pataki,"No, I vote Hillary Clinton.",5
35,Hewitt,-- vote Donald Trump nominee?,5
36,Pataki,"No, I will vote Republican nominee. But let say flat out, Donald Trump unfit president United States Republican Party's nominee. Look Atlantic City. He says going make America great again? He invested four casinos Atlantic City said, essentially, I'm going make Atlantic City great again. Every one casinos went bankrupt. Over 5,000 Americans lost job. And know people who, difficult economic time, lost job pain causes. He lose anything, 5,000 lost jobs. He will America Atlantic City someone will nominate.",80
37,Tapper,"Thank you, Governor.",3
38,Pataki,Thank you.,2
39,Tapper,Senator Graham?,2
40,Tapper,"One -- reasons Donald Trump, Ben Carson Carly Fiorina well political outsiders. In fact, one things -- fact, two things common. They've never elected office better polls. The four combined seven decades elected office. Senator Graham, election season, Republican voters see service government liability asset?",45
41,Graham,"Well, I hope Republican voters, libertarian, vegetarians, Democrats, name it, will look somebody lead us new direction, domestically, particularly foreign policy front. President Obama making mess world. What I'm trying tell tonight, Syria hell Earth going get fixed insulting other. I've 35 times Iraq Afghanistan. I ready commander-in-chief day one. I've military 33 years, 140 days ground Iraq Afghanistan. I ready get winning war afford lose. I hope believe experience matters. It's all- volunteer force -- vote commander-in-chief, stuck choice. We've one novice commander-in- chief. Let's replace one novice another. And I thought...",93
42,Tapper,"Thank you, Senator.",3
43,Graham,"-- I win war without American ground forces Iraq Syria, I tell you, can't...",14
44,Tapper,"Thank you, Senator.",3
45,Graham,"-- get this, coming here.",5
46,Tapper,"Thank you, Senator. Let's turn topic immigration.",7
47,Tapper,"For that, I want bring colleague, Dana Bash. DANA BASH, CNN",11
48,Correspondent,"Senator Santorum, Governor Jindal supported pathway citizenship undocumented immigrants border secure. Why disagree that? RICK SANTORUM (R), PRESIDENTIAL",18
49,Candidate,"Well, fact, just everybody field supports pathway citizenship. There just few, Governor Jindal, Senator Cruz, Senator Rubio, Jeb Bush, lot others, Senator Graham, support sort amnesty point time another. And really interesting thing whole debate. This debate going someone illegally.",40
50,Santorum,"This debate going someone illegally; This debate -- every debate every policy issue America. What's best interest hardworking Americans? What's best interest country. We've focus side set us, concerned issue immigration, someone illegally family, going it? A greater leader will see objection every law America best interest America. And best interest America right now look wages, look employment among wager earners. 70 90 percent people who've come country, 35 million last 20 years, wage earners holding wages down, taking jobs away America.",82
51,Bash,"Senator, time's up. I want get governor respond that.",9
52,Jindal,"Yeah, I wanted clarify -- I want make clear everybody understands position is, need secure border, period. Any talk -- need comprehensive plan, need 1,000-page bill, like Gang Eight. We need amnesty. Everybody D.C. talks it. We need get done. As president, I'll get done six months. It perfect, can get done. I'm amnesty. We need secure border. A smart immigration makes -- country stronger. Right now, got weak one. One things I've said -- I know left -- I know Hillary like -- immigration without assimilation invasion. We need insist people come come legally, learn English, adopt values, roll sleeves get work. We need secure border.",107
53,Bash,"Senator -- Senator Santorum, buy that, governor's amnesty?",8
54,Santorum,"Well, just call amnesty mean -- almost everybody field allowing people country illegally, people broke law come country, people came legally overstayed, stay -- America. Again, 35 million -- highest percentage -- -- immigrants country, far numbers ever, far percentage, -- highest 105 years. Wages flatlining. The reason seeing angst anger reason issue taken workers America know wages undermined. If look at, year 2000 year 2014, there're 5.7 million net new jobs created. What percentage jobs held people born here? The answer them. The fact is, American workers -- getting hurt immigration...",92
55,Bash,"Senator, time up...",3
56,Santorum,... upset.,2
57,Bash,"Your time up. And Governor, I'm sorry. Just -- -- really need clarify position, say amnesty, path citizenship...",18
58,Jindal,"Dana, right. What I've said consistently secure border. I've said done, American people will deal folks pragmatically compassionately. Now, Rick, wants say Rubio, Senator Rubio, Jeb others amnesty, right. I'm amnesty. I've never amnesty, will never amnesty. Secure border. We need comprehensive -- I've also said need put end sanctuary cities. It's enough defund them; I think need criminalize, accuse jail mayors councilman accessories...",64
59,(unknown),"Thank you, Governor.",3
60,Jindal,... crimes committed people first place.,6
61,Tapper,"Thank you, Governor.",3
62,Tapper,"I -- I want change subject. We're staying immigration, I'm bringing in, Governor Pataki...",14
63,Pataki,OK. All right. Thank you.,5
64,Tapper,"... Senator Graham, I'm coming well.",6
65,Graham,Thank you.,2
66,Tapper,"Governor Pataki, Republicans right now -- debating birthright citizenship, policy granting U.S. citizenship every baby born country, even born undocumented immigrants. Senator Graham wants end policy birthright citizenship. Governor Pataki, support keeping it. Tell wrong.",35
67,Pataki,"Yeah, small part important issue, let comment colleagues saying here. We agree secure border. We make sure people come America legally. That got step one. Step two is, stop releasing criminals communities. If charged crime illegal alien, either jail deported. You released, Obama administration done. Of course, outlaw sanctuary cities hold responsible. But ignore 11 million people here. What going do? We're going send back, despite somebody saying going drag kids classrooms send back. But send message nation depends rule law, first act break law, consequence. So I require want legal status, citizenship, come forward, acknowledge broke law, again, can immediately deported, communities across America want sanction someone...",108
68,Tapper,"Thank you, Governor.",3
69,Pataki,... community service -- 200 hours working hospital...,8
70,Tapper,Governor...,1
71,Pataki,"... working school, legal...",4
72,Tapper,What I -- I asked birthright citizenship think preserve birthright...,10
73,Pataki,"I -- I think tell child born America going send back. The way avoid intelligent immigration policy know coming here, coming here, flood people coming wrong reasons.",27
74,Tapper,"Senator Graham, countries world birthright citizenship.",6
75,Graham,Probably good reason.,3
76,Tapper,Why think Governor Pataki wrong?,5
77,Graham,"Well, talk immigration. Number one, I like Rick. I remember Santorum plan I Senate. The peanut gallery interesting. I trying solve problem decade. There democrats tonight. If here, raise hand. You went wrong -- we'll, welcome. Thank much coming. (LAUGHTER) (CROSSTALK)",41
78,Tapper,Was a...,2
79,Graham,"The bottom line, I'm trying pitch problem. We're going deport 11 million people illegally, start felons, go. And, rest, can stay, got learn language. I speak well, well, look far I've come? (LAUGHTER) Speaking English good thing. You got pay taxes, got pay fine, got get back line. You've got secure border keep coming. If control gets job never ends -- (ph) got two borders. One Canadia -- Canada, one Mexico. I never met illegal Canadian. This economic problem, so, folks, solve it. Amnesty nothing, doing. As birthright citizenship, clean mess, future, prospectively, I'm going look following. There people buying tourist visas go resorts maternity wards expressed purpose children America. There rich Asians, rich people Mid-East...",116
80,Tapper,...Thank Senator...,2
81,Graham,...That bastardizing citizenship...,3
82,Tapper,...Thank Senator...,2
83,Graham,"...Yeah, I'd like stop future...",5
84,Tapper(?),"Governor Pataki, I'd just want to...",6
85,Santorum,"...Hold on, hold on, hold on...",6
86,Tapper,"...We'll come back Senator Santorum, I promise...",7
87,Santorum,"...He mentioned name, plan. And, fact matter is...",8
88,Tapper,...alright...,1
89,Santorum,"...that I plan back 2006. I introduced plan called, A Comprehensive Border Security Bill, did, fact, put resources build fencing, deploy troops, technology necessary which...",25
90,Graham,...What 11 million?,3
91,Santorum,"As know, Lindsay...",3
92,Graham,...What going 11 million?,4
93,Santorum,"...As know, 40 60 percent 11 million visa overstays. We know exactly are, know are, government tell return home. You can solve half problem 11 million...",26
94,Graham,"...Well, half...",2
95,Santorum,"...by simply telling 11 million return country origin, so, half problem...",11
96,Graham,...How many democrats support yourplan...,5
97,Santorum,"...Now, 11 million...",3
98,Graham,...How many democrats bill?,4
99,Santorum,I know many democrats I bill...,6
100,Graham,...I can tell you. None.,5
101,Santorum,"But, point -- point I bill...",6
102,Graham,...That went nowhere.,3
103,Santorum,"Well, right, Lindsay, went president back comprehensive immigration reform...",9
104,Graham,...George W. Bush...,3
105,Santorum,...That's right...,2
106,Graham,...Who won hispanics.,3
107,Santorum,You know need do...,4
108,Graham,...Compared doing...,2
109,Santorum,"Lindsay, need win -- need win fighting Americans. We need win fighting workers country...",14
110,Graham,...Hispanics...,1
111,Santorum,"...who hurting, including including hispanics...",5
112,Graham,...Are Americans...,2
113,Santorum,...the people hurt illegal immigration hispanics.,6
114,Graham,"...In world, hispanics Americans...",4
115,Santorum,"...The folks -- folks -- hurt worst recent immigrants. By illegal immigrants coming country last year alone, 700,000 illegal immigrants came country. Who think impacted? It's folks came country, played rules, supposed do. Came here, went work, now finding work someone illegally willing come work less...",46
116,Graham,"...I little different take country going issue. Number one, 1950, 16 workers every retiree. How many today? There's three. In 20 years, going two, going 80 million baby boomers like retiree mass wanting Social Security check, Medicare bills paid. We're going need legal immigration. Let's just make logical. Let's pick people world terms, just somebody Mexico. Let's create rational, legal immigration system declining workforce.",64
117,Tapper,"Thank you, Senator...",3
118,Graham,"...Strom Thurmond four kids 67, willing that, got come new legal immigration system.",13
119,Tapper,"Thank you, Senator. Governor Pataki, I want let final word here.",11
120,Santorum,"I just want say -- I just want say, I seven kids, I've done part.",15
121,Tapper,Governor Pataki?,2
122,Pataki,"We deal people illegally. We just ignore them, send back. I think policy work give legal status, make part economy will grow, help America.",24
123,Tapper,"I want turn another pressing immigration issue. Governor Jindal, next year, least 10,000 Syrian refugees will allowed enter United States. Governor Jindal, said ridiculous America let refugees Syria, expressed concerns security. Senator Graham says United States moral obligation Syrian refugees. Governor Jindal, United States obligation them?",46
124,Jindal,"Jake, look, America's compassionate country entire world. We folks around world, nature American people. Two things. One, let us draw line, direct line, refugee crisis, president's failed foreign policy.",29
125,Jindal,"Jake, look, America compassionate country entire world. We folks around world. And nature American people. Two things: one, let us draw line, direct line refugee crisis president's failed foreign policy. He drew red line Syria enforce now seeing millions refugees potentially, hundreds thousands going Europe. The answer put Band-aid allow even people come America. We short-circuit; got vetting process, got normal refugee process. Simply allowing country solve problem. The way solve problem us clear friends allies going replace Assad, going hunt destroy ISIS; friends trust us, enemies fear respect us. But I want go back immigration. Let clear. Immigration, need insist assimilation immigration. My parents came legally almost 45 years ago. They came here, followed rule law. They knew English, adopted values. They come hyphenated Americans. They're Indian Americans. They're Asian Americans. They're --",134
126,Tapper,"Thank you, Governor.",3
127,Jindal,We -- important insist immigration going --,7
128,Tapper,"Thank you, Governor. Senator Graham, response comes Syrian refugees?",9
129,Graham,"Yes, number one, President Obama sleep night? Look let happen watch. Your commanders told you, withdrawal Iraq lose gains. Three years ago entire national security team, Senator McCain I begged no-fly zone help Free Syrian Army matter. But said no. I'm blaming Bobby, I'm blaming Rick, I'm blaming anybody, I'm blaming Barack Obama mess.",54
130,Tapper,"Thank you, Senator.",3
131,Tapper,I want turn now -- UNIDENTIFIED,6
132,Male,And I want fix it.,5
133,Tapper,"We're going keep talking situation Middle East. Let bring colleague, Dana Bash, again.",13
134,Bash,"Thank you. Senator Graham, mentioned earlier; calling additional 20,000 U.S. ground forces fight ISIS Iraq Syria said -- again, just evening -- anyone willing commander chief.",26
135,Graham,Right.,1
136,Bash,"No one stage gone far. So saying, Iraq Syria, saying everybody right fit Oval Office?",15
137,Graham,"I'm saying this, understand Barack Obama's policies working, going destroy ISIL Iraq Syria air, ready. What I learned 35 trips? I learned works doesn't. We good spot Iraq, President Bush made mistakes adjusted. To fought Iraq, job Barack Obama wasted all. Now spot where, destroy ISIL soon, coming here. There 3,500 American boots ground. You never know it, hearing president, need 10,000 turn tide battle Iraq. Then nobody left, Dana, train inside Syria. We spent $50 million training 54 people four five. They slaughtered. So going need regional army, turks, Jordanians, Saudis, Egyptians get armies together 90 percent will them. They're going pay war paid last two. But 10 percent least will us going ground going pull caliphate roots going kill every one bastards can find because, don't, coming here.",130
138,Bash,Senator -- (CROSSTALK),3
139,Bash,"-- Senator Santorum, I know raising hand. You're committing number troops, Iraq ground Syria?",14
140,Santorum,"I proposed 10,000 troops, I six seven months ago, needed deploy additional troops exactly Lindsey said, arm Kurds, arm -- (CROSSTALK)",21
141,Bash,"And saying 20,000. Would you...?",5
142,Santorum,"I've said -- I've said 10,000 and, necessary, look, answer this, ISIS established caliphate, game changed establish caliphate, area control, take ground caliphate, don't, then, Islamic world, seen legitimate caliphate. As long territorial integrity, even expand it, legitimacy much Muslim world call people join jihad America well Iraq Syria. So must take ground.",53
143,Bash,"Thank you, Senator. Governor Jindal?",5
144,Jindal,"Look, absolutely. We need whatever necessary hunt kill radical Islamic terrorists president helped -- policies helped contribute problem. He went Pentagon week announced cutting back number troops Army say going win guns, going change hearts minds. This will generational conflict, nonsense. These barbarians. They burning, crucifying people alive, Christians Muslims. We need hunt --",54
145,Tapper,"Thank you, Governor.",3
146,Jindal,-- president willing --,4
147,Tapper,"Thank you, Governor.",3
148,Jindal,-- Islamic --,3
149,Tapper,"Thank you, thank you, Governor. (CROSSTALK)",6
150,Graham,-- include American ground forces Syria part regional army? Are willing commit American ground forces going Syria part regional army destroy caliphate headquarters?,23
151,Tapper,Governor Pataki --,3
152,Pataki,"Lindsey, let comment this. Last week anniversary September 11th I governor New York September 11th led us horrible day.",19
153,Pataki,"And I learned assume radical Islam continent away, pose threat us America. It then, today, I think, greater risk attack time since. We got destroy ISIS's ability attack us here. But 10,000 troops. It's 20,000 troops. In view, three things. First, directly arm fighting ISIS ground now. The Kurds...",49
154,Tapper,"Thank you, Governor. Sorry. We rules timing. Governor Jindal, I want bring in. I want turn story news story today. A 14-year-old Muslim high school student Texas arrested Monday bringing homemade clock school mistaken fake bomb. Police released young man determined was, fact, clock. Today, President Obama invited student White House. Governor Jindal, throughout campaign, spoken many times Muslim extremists country. How you, president, strike balance vigilance discrimination?",68
155,Jindal,"Well, Jake, look, I think American people -- discriminate anybody based color skin creed. I think way strike balance, say Muslim leaders, got two responsibilities. One, enough denounce just simply generic acts violence. They got denounce individuals name, say martyrs. These terrorists martyrs; rather, going straight hell. They going enjoy reward afterlife. Secondly, explicitly embrace freedoms everybody else want themselves. Look, I know politically incorrect say this, president says Fort Hood issue workplace violence. We war radical Islam. Our president loves apologize America, goes National Prayer Breakfast, brings Crusades, criticizes Christians. We're war today radical Islamic extremists. It's politically correct say that, way strike balance, say Muslim leaders, denounce fools, radical terrorists name, say martyrs.",115
156,Tapper,"Governor Jindal, I'm afraid answer question. How strike balance vigilance discrimination? Obviously, know feel vigilance part this. Do ever see discrimination part it?",23
157,Jindal,"Sure, I think 14-year-old ever get arrested bringing clock school. So, asking I'm glad -- released. I'm glad police careful. I'm glad worried security safety issues. Look, America tolerate them. The biggest discrimination going Christian business owners individuals believe traditional forms marriage. They throwing woman jail Kentucky. Let's talk that. Let's talk Christian florist, caterer, musician, simply want say, arrest us -- discriminate us, shut businesses, fine us thousands dollars believing marriage man woman. Lets talk discriminating Christians.",78
158,Tapper,"Thank you, Governor. We will get subject later debate. Senator Graham?",11
159,Graham,"Well, know, Kim Davis, I'm worried attacking me. I worried radical Islamic terrorists already planning another 9/11. We're war, folks. I'm fighting crime. I want legal system understands difference fighting war fighting crime, reality. Young men Mid- East different Kim Davis. And got understand that.",45
160,Tapper,"Thank you, Senator.",3
161,Graham,Islamic websites need monitored.,4
162,Pataki,Jake...,1
163,Graham,"And one, I want know doing.",6
164,Tapper,Governor Pataki?,2
165,Pataki,"Jake, I can comment this. Yes, Kim Davis different Islamist radicalists Middle East. But hand, run rule America, elected official say I'm going follow law conflicts beliefs. I think fired worked me, I fired her. We uphold rule law.",39
166,Tapper,"Thank you, Governor.",3
167,Pataki,"Imagine one minute -- Jake, imagine one minute Muslim said I believe gay marriage, refused perform wedding. We outrage. There's place religion supersedes rule law. It's called Iran. It United States.",31
168,Tapper,"We'll get subject next block. We're going take quick break. When come back, Jeb Bush Donald Trump agree one thing comes taxes. We'll see candidates stage agree well.",28
169,Tapper,That's next. Stay us. (COMMERCIAL BREAK),6
170,Tapper,"Welcome back CNN Republican Debate beautiful Reagan Library Simi Valley, California. Before took break, chomping bit talk Kim Davis, Kentucky clerk. Governor Pataki said fired Kim Davis, Kentucky clerk jailed refusing issue same-sex marriage licenses. Senator Santorum, agree Governor Pataki?",40
171,Santorum,"16 years ago, country tremendously inspired young woman faced gunman Columbine challenged faith refused deny God. We saw hero. Today, someone refuses defy (sic) judge's unconstitutional verdict ridiculed criticized, chastised standing denying -- denying God faith. That huge difference 16 years. People fundamental right First Amendment. There's important right. It right trunk rights come from, freedom conscience. And say America room -- many bakers, many florists, many pastors, many clerks going throw jail stand say, ""I violate faith says teachings""? Is room America? I believe room. First, I believe pass First Amendment Defense Act, provides room government officials others want complicit believe faith. Second, need president going fight court abusive, superseded authority. Judicial supremacy Constitution, need president Congress stand court exceeds constitutional authority.",123
172,Tapper,"Thank you, Senator. Governor Pataki, response?",6
173,Pataki,"My response kind of, ""Wow."" You know, going president defies Supreme Court agree?",13
174,Santorum,I hope so. If wrong.,5
175,Pataki,Then rule law...,3
176,Santorum,"No, judicial supremacy. You rule law court final say everything.",10
177,Pataki,"The -- elected representatives people always opportunity change law. The Supreme Court makes determination, ultimately elected officials decide whether accepted. By way, I chance lead country, I will appoint judges understand role. They're going making law; going interpreting law elected officials passed.",42
178,Pataki,"But huge difference individual standing saying I going stand religious freedom religious rights. I applaud that. This America. You able engage religious belief way see fit. But elected official take oath office uphold law, laws, pick choose longer society depends rule law.",42
179,Tapper,"Thank you, Senator Santorum?",4
180,Santorum,"Martin Luther King wrote letter Birmingham jail. And said letter just laws unjust laws. And obligation -- condone accept unjust laws. And -- -- followed said unjust law? An unjust law job -- law go moral code God's law natural law. I argue Supreme Court natural law, God's law every obligation stand opposition it. UNIDENTIFIED",55
181,Male,Jake...,1
182,Pataki,"Yes, I -- I agree Supreme Court's decision, law land. And I great admirer Martin Luther King. And prepared break law. But office political power. It civil disobedience, willing voluntarily go jail followers send message elected representatives laws wrong changed. And courage, ignore courts, changed laws made America better place. That's way it.",53
183,Tapper,"Thank you, Governor.",3
184,Jindal,Jake -- Jake... (CROSSTALK),4
185,Tapper,We're coming you.,3
186,Jindal,"Jake, I've got practical question.",5
187,Tapper,What... (CROSSTALK),2
188,Jindal,"I've got practical question. I'd like left give us list jobs Christians allowed have. If allowed clerks, bakers, musicians, caterers, allowed pastors (INAUDIBLE)?",23
189,Tapper,Governor Jindal...,2
190,Jindal,"We're allowed elected officials. I firmly -- important point. The First Amendment rights, right religious freedom First Amendment ""The Constitution."" It breaking law exercise constitutional rights. America create religious liberty, religious liberty created United States America. It reason today. UNIDENTIFIED",40
191,Male,I...,1
192,Tapper,"Senator Graham, want weigh in?",5
193,Graham,"I best law student. By end debate, time I've ever spent library. (LAUGHTER)",13
194,Graham,"But first day law school view (ph), called ""Marbury v. Madison."" The group constitutional democracy interprets ""The Constitution"" means Supreme Court. In 5-4 decision Supreme Court, ruled same-sex marriage bans state level violate Fourteenth Amendment ""The United States Constitution"" equal protection clause. I agree it, law land. But president, I want make sure everybody room, Christian, Jewish, Muslim, whatever religion can practice faith without government interference, can marry people consistent tenets faith. That's number one obligation presidency, protect religious people exercise religious rights. But decision law right now. And one thing I want tell you, Jake.",96
195,Tapper,"Thank you, Senator.",3
196,Graham,"Wait -- wait minute. Whether wedding cake baker gay couple Baptist preacher, radical Islam kill could.",16
197,Tapper,Senator...,1
198,Graham,Let's lose sight big picture here.,6
199,Tapper,"Thank you, Senator. I want stay subject Supreme Court judges -- justices. Governor Jindal, Senators graham Santorum voted confirm chief justice United States, John Roberts, led majority twice uphold ObamaCare. Do think Graham's Santorum's votes confirm John Roberts mistake?",39
200,Jindal,"I think actually putting Roberts, I think putting Kennedy, I think putting -- them, I think putting Souter bench mistake. But look, I think -- first responsibility starts White House. The reality conservatives willing stand beliefs, unlike liberals -- look, never worry Democratic judges going vote, always conservatives. You've never Democratic judge wake say, surprise, I've evolved, I've become conservative. It's always Republicans, presidents try find judges records, rulings, writings. I'll tell you, I going litmus test. For judges, I'm going find judges conservative, judges going pro-life, judges going follow ""The Constitution,"" judges, way, going follow American law, international law. They're appointed interpret international law, apply ""The United States Constitution."" Judges understand, job write law. If want write law, run Senate House.",122
201,Jindal,"It's time Republican president next commander chief, I will Democrats done. I will appoint bold judges actually consistent values will conservatives enforce Senate --",24
202,Tapper,"Thank you, Governor. Senator Graham, I want give opportunity respond --",11
203,Tapper,"-- I note Anthony Kennedy, was, course, Ronald Reagan appointee. Senator Graham, stand vote John Roberts?",16
204,Graham,"He's one qualified men ever come United States Senate I agree decision, 99 times 100, I will. To Republicans, biggest prize table 2017 presidency. If Hillary Clinton, Joe Biden Bernie Sanders, going pick people will disagree time. Please understand, win election. The court's stake. It important reason us turn out, make sure lose judiciary decades come.",56
205,Tapper,"Senator Santorum, stand vote John Roberts?",6
206,Santorum,"Well, contrary Governor Jindal said, Governor -- Justice Roberts long record long, good record. And made bad decision -- couple bad decisions ObamaCare made lot great decisions, too. And I -- I regret standing John Roberts but, know, easy sit Louisiana talk how, know, well, I'd tougher. I fought I United States Senate. We fought, first time, defeat justices judges Bill Clinton nominated I fought President Bush defend nominees, push even filibuster, breaking filibuster. I led fight someone want end filibuster order us get good, conservative justices. So I front line, fighting judges conservative justices I will president like none other.",101
207,Tapper,"Governor Jindal, I'm going give 30 seconds respond.",8
208,Jindal,"Thank you, Jake. But look, minor ruling. Justice Roberts twice rewrote law save ObamaCare, biggest expansion government, creating new entitlement afford government got today, expansion socialism country. It's got minor ruling wrong. This twice rewrote law. Now, look, I lot respect senators big bladders. They give great speeches Senate. And I respect that. I've actually signed executive order. I've actually signed law protecting religious liberty state Louisiana. It's 99-1. The one got wrong big one. Twice bent backwards save ObamaCare. If Republicans voted way -- have, still 19th Amendment rights ObamaCare law land.",93
209,Tapper,Let bring back Hugh Hewitt.,5
