,name,rebuttal,len_rebuttal
14,Tapper,"Senator Santorum, do you think Governor Jindal is wrong for attacking your party's front runner?",15
15,Santorum,"I think personal attacks, just please one person, Hillary Clinton. And all we do when we go after each other -- and we've seen a bunch of it, from people up on this stage, people who are going to be on the stage afterwards, who go after and make personal attacks on people. There are plenty of policy differences between the candidates up here and the candidates later. Donald Trump has ever right to run for president as a Republican, as anybody else in this audience, and he may have positions I disagree with, but he has the right to do that and the people should be given the benefit of the doubt for people to see through these things. I don't think it helps when Republicans attack Republicans personally. I'll say some things tonight which will be very big differences. The issue of immigration is one that there are huge differences in this field, and I will be out there talking about how we have to control immigration. How we have to look after the American worker. The focus of this debate should be on how we're going to win this election and help improve the quality of life for American workers, and we aren't doing that, when we're out there picking at each other and calling each other names. The name we should call out is, what are we going to do for average Americans losing ground in America today. And that should be our focus.",248
16,Tapper,"Thank you. Governor Jindal, do you want to respond to that?",11
17,Jindal,"Absolutely. Look, the reality is, Hillary Clinton is gift-wrapping this election to us. They are running their weakest candidate. They have got a socialist that is gaining on Hillary Clinton. Folks, you can't make that up. A socialist is doing well in the Democratic primary. The best way for us to give this election back would be to nominate a Donald Trump. He'll implode in the general election, or if, God forbid, if he were in the White House, we have no idea what he would do. You can't just attack him on policy. He doesn't care about policy. It's not enough to say he was for socialized medicine or higher taxes...",112
18,Tapper,"Thank you, Governor.",3
19,Jindal,He's not serious.,3
20,Tapper,"Senator Santorum, just to assure you, we will get to those issues. But just a couple more on this general subject. Senator Graham, you have called Donald Trump a, quote, ""wrecking ball for the Republican party."" Voters in your home state of South Carolina, in a recent poll, prefer Donald Trump 30 percent to your 4 percent. How do you explain why so many of your constituents would rather have Donald Trump as the Republican nominee than you?",78
21,Graham,"Well, all I can say, if you looked at polling in 2012 and 2008 at this level, we'd have -- at this stage, we would have President Perry and President Giuliani. I have a long way to go. And here's what I'm going to try to do tonight -- convince you that I'm best qualified to be the commander-in-chief of the one percent who are doing the fighting for the rest of us. And we'll have a serious discussion tonight.",80
22,Graham,"All of us are going to say we want to destroy ISIL. But here's what I'm going to tell you. What we're doing is not working. I have a plan to do it. If I'm president of the United States, we're going to send more ground forces into Iraq because we have to. President Obama made a huge mistake by leaving too soon against sound military advice. To every candidate tonight, are you willing to commit before the American people that you will destroy ISIL and you understand we need a ground force to do it? Are you willing -- Jake, please ask everybody the following question. Would you go from 3,500 to 10,000 American boots on the ground in Iraq to destroy ISIL? Because if you don't, we're going to lose. Are you willing to send American combat forces into Syria as part of a regional army, because if you don't, we'll never destroy ISIL in Syria. If you're not ready to these things you're not ready to be commander-in-chief.",171
23,Tapper,"Thank you, Senator Graham.",4
24,Tapper,"We're going to bring in Hugh Hewitt now, who has a question for Governor Pataki. HUGH HEWITT, TALK RADIO",19
25,Host,"Thank you, Jake. Governor, you signed the pledge to support the Republican nominee and you promptly broke it. By doing so, by Tweeting out that you would not support Donald Trump, have you released Donald Trump to be a free agent again or anyone else in the field? GEORGE PATAKI (R), PRESIDENTIAL",52
26,Candidate,"No. Hugh, not at all. I have not broken the pledge because Donald Trump is not going to be the Republican nominee, period, flat out, I guarantee you that. I would vote...",32
27,Hewitt,Governor...,1
28,Pataki,-- for the Republican nominee...,5
29,Hewitt,-- you said on Twitter that you would not support Donald Trump. If he's the nominee...,16
30,Pataki,He's not going to be the nominee.,7
31,Hewitt,-- will you support him?,5
32,Pataki,"He's not going to be the nominee, Hugh. And let me just say one word here. This is an important election with an enormous number of challenges facing the American people. And the first four questions are about Donald Trump. (CROSSTALK)",41
33,Hewitt,Would you really vote for Hillary Clinton...,7
34,Pataki,"No, I would not vote for Hillary Clinton.",8
35,Hewitt,-- or vote for Donald Trump if he's the nominee?,10
36,Pataki,"No, I will vote for the Republican nominee. But let me say this flat out, Donald Trump is unfit to be president of the United States or the Republican Party's nominee. Look at what he did in Atlantic City. He says he's going to make America great again? He invested four casinos in Atlantic City and he said, essentially, I'm going to make Atlantic City great again. Every one of those casinos went bankrupt. Over 5,000 Americans lost their job. And you know people who, in this difficult economic time, have lost their job and the pain that causes. He didn't lose anything, 5,000 lost their jobs. He will do for America what he did for Atlantic City and that is not someone we will nominate.",126
37,Tapper,"Thank you, Governor.",3
38,Pataki,Thank you.,2
39,Tapper,Senator Graham?,2
40,Tapper,"One of the -- the reasons why Donald Trump, Ben Carson and Carly Fiorina are doing well is because they are political outsiders. In fact, that's one of the things -- in fact, there are two things that they have in common. They've never been elected to office before and they're doing better than all of you in the polls. The four of you have a combined seven decades in elected office. Senator Graham, in this election season, do Republican voters see your service in government as a liability and not an asset?",93
41,Graham,"Well, what I hope Republican voters, libertarian, vegetarians, Democrats, you name it, will look for somebody to lead us in a new direction, domestically, but particularly on the foreign policy front. President Obama is making a mess of the world. What I'm trying to tell you here tonight, that Syria is hell on Earth and it's not going to get fixed by insulting each other. I've been there 35 times to Iraq and Afghanistan. I am ready to be commander-in-chief on day one. I've been in the military 33 years, 140 days on the ground in Iraq and Afghanistan. I am so ready to get on with winning a war that we can't afford to lose. I hope you believe that experience matters. It's an all- volunteer force of -- when you vote for commander-in-chief, they are stuck with your choice. We've had one novice being commander-in- chief. Let's don't replace one novice with another. And if I thought...",159
42,Tapper,"Thank you, Senator.",3
43,Graham,"-- I could win this war without more American ground forces in Iraq and Syria, I would tell you, but we can't...",22
44,Tapper,"Thank you, Senator.",3
45,Graham,"-- and if we don't get on with this, they are coming here.",13
46,Tapper,"Thank you, Senator. Let's turn to the topic of immigration.",10
47,Tapper,"For that, I want to bring in my colleague, Dana Bash. DANA BASH, CNN",14
48,Correspondent,"Senator Santorum, Governor Jindal has supported a pathway to citizenship for undocumented immigrants once the border is secure. Why do you disagree with that? RICK SANTORUM (R), PRESIDENTIAL",28
49,Candidate,"Well, in fact, just about everybody in this field supports some pathway to citizenship. There are just a few, Governor Jindal, Senator Cruz, Senator Rubio, Jeb Bush, a lot of others, Senator Graham, all support some sort of amnesty at some point in time or another. And this is really the interesting thing about this whole debate. This debate should not be about what we're going to do with someone who's here illegally.",73
50,Santorum,"This debate should not be about what we're going to do with someone who's here illegally; This debate should be about what -- what every other debate on every other policy issue is in America. What's in the best interest of hardworking Americans? What's in the best interest of our country. We've had to focus because the other side has set up for us, here is who we have to be concerned about on the issue of immigration, someone who's here illegally and their family, and what are we going to do about it? A greater leader will see that the objection of every law in America is to do what's in the best interest of America. And what's in the best interest of America right now is to look at wages, look at employment among wager earners. 70 to 90 percent of people who've come into this country, 35 million over the last 20 years, are wage earners that are holding wages down, taking jobs away from America.",169
51,Bash,"Senator, your time's up. I want to get the governor to respond to that.",14
52,Jindal,"Yeah, I wanted to clarify -- I want to make very clear that everybody understands my position is, we need to secure the border, period. Any talk of doing any more -- we don't need a comprehensive plan, don't need an 1,000-page bill, like the Gang of Eight. We don't need amnesty. Everybody in D.C. talks about it. We need to get it done. As president, I'll get it done in six months. It won't be perfect, but we can get it done. I'm not for amnesty. We do need to secure the border. A smart immigration makes our -- our country stronger. Right now, we've got a weak one. One of the things I've said -- I know the left -- I know Hillary didn't like this -- immigration without assimilation is invasion. We need to insist the people who come here come here legally, learn English, adopt our values, roll up their sleeves and get to work. We do need to secure the border.",166
53,Bash,"Senator -- Senator Santorum, do you buy that, that the governor's not for amnesty?",14
54,Santorum,"Well, just because you don't call it amnesty doesn't mean that what -- what almost everybody in this field is for is allowing people who are in this country illegally, people who broke the law to come into this country, people who came here legally and overstayed, to stay in -- in America. Again, we have 35 million -- we have the highest percentage of -- of -- of immigrants in this country, as far as numbers ever, as far as percentage, the -- the highest in 105 years. Wages are flatlining. The reason that you're seeing the angst and the anger out there and the reason this issue has taken off is because workers in America know that their wages are being undermined. If you look at, from the year 2000 to the year 2014, there're 5.7 million net new jobs created. What percentage of those jobs are held by people who weren't born here? The answer is all of them. The fact is, American workers are -- are getting hurt by immigration...",174
55,Bash,"Senator, your time is up...",5
56,Santorum,... and that's why they're upset.,6
57,Bash,"Your time is up. And Governor, I'm sorry. Just -- you -- you really need to clarify your position, because you say you're not for amnesty, but you have been for a path to citizenship...",35
58,Jindal,"Dana, that's not right. What I've said consistently is secure the border. I've said after that is done, the American people will deal with the folks that are here pragmatically and compassionately. Now, Rick, if he wants to say that Rubio, Senator Rubio, or Jeb or others are for amnesty, that's his right. I'm not for amnesty. I've never been for amnesty, will never be for amnesty. Secure the border. We don't need to do that as a comprehensive -- I've also said we need to put an end to sanctuary cities. It's not enough to defund them; I think we need to criminalize, accuse and jail those mayors and councilman as accessories...",113
59,(unknown),"Thank you, Governor.",3
60,Jindal,... for the crimes committed by people who shouldn't be here in the first place.,15
61,Tapper,"Thank you, Governor.",3
62,Tapper,"I -- I want to change the subject. We're staying on immigration, and I'm bringing you in, Governor Pataki...",19
63,Pataki,OK. All right. Thank you.,5
64,Tapper,"... and Senator Graham, I'm coming to you as well.",10
65,Graham,Thank you.,2
66,Tapper,"Governor Pataki, Republicans right now are -- are debating birthright citizenship, the policy of granting U.S. citizenship to every baby born in this country, even if they born to undocumented immigrants. Senator Graham wants to end the policy of birthright citizenship. Governor Pataki, you support keeping it. Tell him why he's wrong.",52
67,Pataki,"Yeah, it's a small part of a very important issue, and let me comment on what my colleagues were saying here. We all agree you have to secure the border. We have to make sure that people come to America legally. That has got to be step one. Step two is, we have to stop releasing criminals into the communities. If you are charged with a crime as an illegal alien, you should either be in jail or be deported. You should not released, as the Obama administration has done. Of course, we should outlaw sanctuary cities and hold them responsible. But we can't ignore 11 million people who are here. What are we going to do? We're not going to send them back, despite somebody saying we're going to drag kids out of classrooms and send them back. But we have to send a message that we are a nation that depends on the rule of law, and when your first act is to break the law, there has to be a consequence. So what I would do is require those who want to have legal status, not citizenship, come forward, acknowledge they broke the law, and if they do it again, they can be immediately deported, and then do what we do in communities across America when we want to sanction someone...",224
68,Tapper,"Thank you, Governor.",3
69,Pataki,... and that is community service -- 200 hours working in a hospital...,13
70,Tapper,Governor...,1
71,Pataki,"... working in a school, and then they could have legal...",11
72,Tapper,What I -- what I asked about was about birthright citizenship and why you think that we should preserve birthright...,20
73,Pataki,"I don't -- I don't think that we should tell that child born in America that we're going to send them back. The way to avoid that is to have an intelligent immigration policy where we know who is coming here, why they are coming here, so we don't have this flood of people coming here for the wrong reasons.",60
74,Tapper,"Senator Graham, most countries in the world do not have birthright citizenship.",12
75,Graham,Probably for a good reason.,5
76,Tapper,Why do you think Governor Pataki is wrong?,8
77,Graham,"Well, let's talk about immigration. Number one, I like Rick. I don't remember the Santorum plan when I was in the Senate. The peanut gallery on this is interesting. I have been trying to solve this problem for a decade. There are no democrats here tonight. If you're here, raise your hand. You went to the wrong -- we'll, welcome. Thank you very much for coming. (LAUGHTER) (CROSSTALK)",68
78,Tapper,Was that a...,3
79,Graham,"The bottom line, I'm trying to pitch the problem. We're not going to deport 11 million people here illegally, but we'll start with felons, and off they go. And, as to the rest, you can stay, but you got to learn our language. I don't speak it very well, well, look how far I've come? (LAUGHTER) Speaking English is a good thing. You got to pay taxes, you got to pay a fine, you got to get in the back of the line. You've got to secure your border or they'll keep coming. If you don't control who gets a job that never ends -- so (ph) got two borders. One with Canadia -- Canada, one with Mexico. I never met an illegal Canadian. This is an economic problem, so, folks, let's solve it. Amnesty is doing nothing, and that's what we've been doing. As to birthright citizenship, once we clean up this mess, in the future, prospectively, I'm going to look at the following. There are people buying tourist visas that go to resorts with maternity wards with the expressed purpose of having a children here in America. There are rich Asians, there are rich people up in the Mid-East...",201
80,Tapper,...Thank you Senator...,3
81,Graham,...That to me is bastardizing citizenship...,6
82,Tapper,...Thank you Senator...,3
83,Graham,"...Yeah, I'd like to stop that in the future...",9
84,Tapper(?),"Governor Pataki, I'd just want to...",6
85,Santorum,"...Hold on, hold on, hold on...",6
86,Tapper,"...We'll come back to you Senator Santorum, I promise...",9
87,Santorum,"...He mentioned my name, and that i didn't have a plan. And, the fact of the matter is...",18
88,Tapper,...alright...,1
89,Santorum,"...that I did have a plan back in 2006. I introduced a plan called, A Comprehensive Border Security Bill, which did, in fact, put the resources to build the fencing, and deploy the troops, and the technology necessary which...",39
90,Graham,...What do you do with the 11 million?,8
91,Santorum,"As you know, Lindsay...",4
92,Graham,...What are you going to do with the 11 million?,10
93,Santorum,"...As you know, 40 to 60 percent of the 11 million are here on visa overstays. We know exactly who they are, we should know where they are, but we have a government that doesn't tell them to return home. You can solve half of the problem of the 11 million...",51
94,Graham,"...Well, what about the other half...",6
95,Santorum,"...by simply telling the 11 million that they have to return to their country of origin, so, that's half your problem...",21
96,Graham,...How many democrats support yourplan...,5
97,Santorum,"...Now, it's not 11 million...",5
98,Graham,...How many democrats did you have on your bill?,9
99,Santorum,I don't know how many democrats I had on my bill...,11
100,Graham,...I can tell you. None.,5
101,Santorum,"But, the point is -- the point is is that I had a bill...",14
102,Graham,...That went nowhere.,3
103,Santorum,"Well, you're right, Lindsay, it went no where because we had a president back then who was for more comprehensive immigration reform...",22
104,Graham,...George W. Bush...,3
105,Santorum,...That's right...,2
106,Graham,...Who won with hispanics.,4
107,Santorum,You know what we need to do...,7
108,Graham,...Compared to what we're doing...,5
109,Santorum,"Lindsay, is we need to win -- we need to win fighting for Americans. We need to win fighting for the workers in this country...",25
110,Graham,...Hispanics...,1
111,Santorum,"...who are hurting, including including hispanics...",6
112,Graham,...Are Americans...,2
113,Santorum,...the people who are hurt the most by illegal immigration are hispanics.,12
114,Graham,"...In my world, hispanics are Americans...",6
115,Santorum,"...The folks -- the folks who are -- hurt the worst are recent immigrants. By illegal immigrants coming to this country last year alone, 700,000 illegal immigrants came into this country. Who do you think are most impacted? It's the folks who came into this country, played by the rules, did what they were supposed to do. Came here, and went to work, and now they're finding themselves out of work because someone illegally is willing to come in and work for less...",83
116,Graham,"...I have a little different take on where the country is going on this issue. Number one, in 1950, there were 16 workers for every retiree. How many are there today? There's three. In 20 years, there's going to be two, and you're going to have 80 million baby boomers like me retiree in mass wanting a Social Security check, and their Medicare bills paid. We're going to need more legal immigration. Let's just make it logical. Let's pick people from all over the world on our terms, not just somebody from Mexico. Let's create a rational, legal immigration system because we have a declining workforce.",106
117,Tapper,"Thank you, Senator...",3
118,Graham,"...Strom Thurmond had four kids after he was 67, if you're not willing to do that, we've got to come up with a new legal immigration system.",27
119,Tapper,"Thank you, Senator. Governor Pataki, I want to let you have the final word here.",15
120,Santorum,"I just want to say -- I just want to say, I have seven kids, I've done my part.",19
121,Tapper,Governor Pataki?,2
122,Pataki,"We have to deal with the people who are here illegally. We can't just ignore them, or send them back. I think my policy would work to give them legal status, make them a part of an economy that will grow, and help America.",44
123,Tapper,"I want to turn to another pressing immigration issue. Governor Jindal, over the next year, at least 10,000 Syrian refugees will be allowed to enter the United States. Governor Jindal, you've said it's ridiculous for America to let more refugees in from Syria, and you've expressed concerns about security. Senator Graham says that the United States has a moral obligation to these Syrian refugees. Governor Jindal, does the United States have any obligation to them?",75
124,Jindal,"Jake, look, America's the most compassionate country in the entire world. We do more for folks around this world, and that's the nature of the American people. Two things. One, let us draw line, a direct line, between this refugee crisis, and this president's failed foreign policy.",47
125,Jindal,"Jake, look, America is the most compassionate country in the entire world. We do more for folks around this world. And that's the nature of the American people. Two things: one, let us draw a line, a direct line between this refugee crisis and this president's failed foreign policy. He drew a red line in Syria and did not enforce it and now we're seeing millions of refugees potentially, hundreds of thousands going into Europe. The answer is not to put a Band-aid on this and allow even more people to come into America. We should not short-circuit; we have got a vetting process, we've got a normal refugee process. Simply allowing more into our country doesn't solve this problem. The way to solve this problem is for us to be clear to our friends and allies that we're going to replace Assad, we're going to hunt down and destroy ISIS; our friends don't trust us, our enemies don't fear and respect us. But I want to go back on immigration. Let me be very clear. Immigration, we need to insist on assimilation in immigration. My parents came here legally almost 45 years ago. They came here, they followed the rule of law. They knew English, they adopted the values. They didn't come here to be hyphenated Americans. They're not Indian Americans. They're not Asian Americans. They're --",228
126,Tapper,"Thank you, Governor.",3
127,Jindal,We -- it is important we insist on that in immigration going --,13
128,Tapper,"Thank you, Governor. Senator Graham, your response when it comes to Syrian refugees?",13
129,Graham,"Yes, number one, how does President Obama sleep at night? Look what you let happen on your watch. Your commanders told you, don't withdrawal from Iraq because we'll lose of our gains. Three years ago your entire national security team, Senator McCain and I begged you to do a no-fly zone and help the Free Syrian Army while it would matter. But you said no. I'm not blaming Bobby, I'm not blaming Rick, I'm not blaming anybody, I'm blaming Barack Obama for this mess.",84
130,Tapper,"Thank you, Senator.",3
131,Tapper,I want to turn now -- UNIDENTIFIED,7
132,Male,And I want to fix it.,6
133,Tapper,"We're going to keep talking about the situation in the Middle East. Let me bring in my colleague, Dana Bash, again.",21
134,Bash,"Thank you. Senator Graham, you mentioned this earlier; you are calling for an additional 20,000 U.S. ground forces to fight ISIS in Iraq and Syria and you have said -- again, just this evening -- that anyone who's not willing to do that should not be commander in chief.",49
135,Graham,Right.,1
136,Bash,"No one on this stage has gone that far. So are you saying, for Iraq and Syria, are you saying that everybody to your right is not fit for the Oval Office?",32
137,Graham,"I'm saying this, if they don't understand that Barack Obama's policies are not working, that we're not going to destroy ISIL in Iraq and Syria from the air, they are not ready. What have I learned in 35 trips? I learned what works and what doesn't. We were in a good spot in Iraq, President Bush made mistakes but he adjusted. To those who fought in Iraq, you did your job and Barack Obama wasted it all. Now we're in a spot where, if we don't destroy ISIL soon, they are coming here. There are 3,500 American boots on the ground. You would never know it, hearing your president, but we need about 10,000 to turn the tide of battle in Iraq. Then there is nobody left, Dana, to train inside of Syria. We spent $50 million training 54 people and they are down to four or five. They have been slaughtered. So we're going to need a regional army, the turks, the Jordanians, the Saudis, the Egyptians get their armies up together and 90 percent of it will be them. They're going to pay for this war because we paid for the last two. But 10 percent at least will have to be us and we're going in on the ground and we're going to pull the caliphate up by its roots and we're going to kill every one of these bastards we can find because, if we don't, they are coming here.",244
138,Bash,Senator -- (CROSSTALK),3
139,Bash,"-- Senator Santorum, I know you're raising your hand. You're committing to this number of troops, both in Iraq and on the ground in Syria?",25
140,Santorum,"I have proposed 10,000 troops, I did so about six or seven months ago, that we needed to deploy additional troops to do exactly what Lindsey said, arm the Kurds, arm -- (CROSSTALK)",33
141,Bash,"And he's saying 20,000. Would you...?",6
142,Santorum,"I've said -- I've said 10,000 and, if more is necessary, look, the answer is this, once ISIS established a caliphate, the game changed because once you establish a caliphate, you have an area of control, you have to take ground from that caliphate, because if you don't, then, in the Islamic world, it's seen as a legitimate caliphate. As long as they have territorial integrity, and even expand it, they have legitimacy and much of the Muslim world to call people to join their jihad here in America as well as in Iraq and in Syria. So we must take their ground.",103
143,Bash,"Thank you, Senator. Governor Jindal?",5
144,Jindal,"Look, absolutely. We need to do whatever is necessary to hunt down and kill these radical Islamic terrorists but this president has helped -- his policies have helped to contribute to this problem. He went to the Pentagon the same week they announced they were cutting back the number of troops in the Army to say that we're not going to win this through guns, it's going to be a change of hearts and minds. This will be a generational conflict, that is nonsense. These are barbarians. They are burning, crucifying people alive, Christians and other Muslims. We need to hunt them down and --",105
145,Tapper,"Thank you, Governor.",3
146,Jindal,-- by having a president willing to --,8
147,Tapper,"Thank you, Governor.",3
148,Jindal,-- Islamic --,3
149,Tapper,"Thank you, thank you, Governor. (CROSSTALK)",6
150,Graham,-- does that include American ground forces in Syria as part of a regional army? Are all of you willing to commit to American ground forces going into Syria as part of a regional army to destroy the caliphate and its headquarters?,42
151,Tapper,Governor Pataki --,3
152,Pataki,"Lindsey, let me comment on this. Last week was the anniversary of September 11th and I was governor of New York on September 11th and led us through that horrible day.",31
153,Pataki,"And I learned that we cannot assume that because radical Islam is a continent away, it doesn't pose a threat to us here in America. It did then, and today, I think, we are at greater risk of an attack than at any time since. We have got to destroy ISIS's ability to attack us here. But it's not 10,000 troops. It's not 20,000 troops. In my view, it's three things. First, we have to directly arm those fighting ISIS on the ground now. The Kurds...",86
154,Tapper,"Thank you, Governor. Sorry. We have rules and timing. Governor Jindal, I do want to bring you in. I want to turn to a story in news in the story today. A 14-year-old Muslim high school student in Texas was arrested on Monday for bringing a homemade clock to school after it was mistaken for a fake bomb. Police released the young man after they determined it was, in fact, a clock. Today, President Obama invited that student to the White House. Governor Jindal, throughout your campaign, you've spoken many times about Muslim extremists in this country. How would you, as president, strike a balance between vigilance and discrimination?",109
155,Jindal,"Well, Jake, look, I think the American people -- we don't discriminate anybody based on the color of their skin or their creed. I think the way you strike that balance, you say to Muslim leaders, they have got two responsibilities. One, it's not enough to denounce just simply generic acts of violence. They have got to denounce the individuals by name, and say these are not martyrs. These terrorists are not martyrs; rather, they are going straight to hell. They are not going to enjoy a reward in their afterlife. Secondly, they have to explicitly embrace the same freedoms for everybody else they want for themselves. Look, I know it's politically incorrect to say this, the president says Fort Hood was an issue of workplace violence. We are at war with radical Islam. Our president loves to apologize for America, he goes to the National Prayer Breakfast, brings up the Crusades, criticizes Christians. We're at war today with radical Islamic extremists. It's not politically correct to say that, but the way you strike that balance, you say to Muslim leaders, denounce these fools, these radical terrorists by name, say they are not martyrs.",194
156,Tapper,"Governor Jindal, I'm afraid you didn't answer the question. How do you strike the balance between vigilance and discrimination? Obviously, we know how you feel about the vigilance part of this. Do you ever see the discrimination part of it?",40
157,Jindal,"Sure, I don't think a 14-year-old should ever get arrested for bringing a clock to school. So, if you're asking me I'm glad he wasn't -- he was released. I'm glad that police are careful. I'm glad they are worried about security and safety issues. Look, in America we don't tolerate them. The biggest discrimination is going on against Christian business owners and individuals who believe in traditional forms of marriage. They are throwing this woman in jail in Kentucky. Let's talk about that. Let's talk about the Christian florist, the caterer, the musician, who simply want to say, don't arrest us for having -- or don't discriminate against us, don't shut down our businesses, don't fine us thousands of dollars for believing marriage is between a man and a woman. Lets talk about not discriminating against Christians.",138
158,Tapper,"Thank you, Governor. We will get to that subject later in the debate. Senator Graham?",15
159,Graham,"Well, you know, Kim Davis, I'm not worried about her attacking me. I am worried about radical Islamic terrorists who are already here planning another 9/11. We're at war, folks. I'm not fighting a crime. I want to have a legal system that understands the difference between fighting a war and fighting a crime, and here's the reality. Young men from the Mid- East are different than Kim Davis. And we've got to understand that.",75
160,Tapper,"Thank you, Senator.",3
161,Graham,Islamic websites need to be monitored.,6
162,Pataki,Jake...,1
163,Graham,"And if you are on one, I want to know what you're doing.",13
164,Tapper,Governor Pataki?,2
165,Pataki,"Jake, if I can comment on this. Yes, Kim Davis is different from Islamist radicalists from the Middle East. But on the other hand, we have run rule in America, an elected official can't say I'm not going to follow that law if it conflicts with my beliefs. I think she should have been fired and if she worked for me, I would have fired her. We have to uphold the rule of law.",74
166,Tapper,"Thank you, Governor.",3
167,Pataki,"Imagine one minute -- Jake, imagine one minute that was a Muslim who said I don't believe in gay marriage, and refused to perform that wedding. We wouldn't have had that outrage. There's a place where religion supersedes the rule of law. It's called Iran. It shouldn't be the United States.",51
168,Tapper,"We'll get to that subject in the next block. We're going to take a very quick break. When we come back, both Jeb Bush and Donald Trump agree on one thing when it comes to taxes. We'll see if any of the candidates on stage agree as well.",48
